album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;0;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;8;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;14;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-11-27;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;16;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-11-28;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;16;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-11-29;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;15;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-11-30;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;15;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-01;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;15;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-02;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;14;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-03;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;14;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-04;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;14;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-05;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;13;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-06;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;13;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-07;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;13;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
2020-12-08;single;33a2aSkUxY42YPmxjfNyhX;Dazed;2020-11-21;13;2533873 Records DK;https://i.scdn.co/image/ab67616d0000b273eafd57ae4088568ce0f06b47;2J6pigOrBmKQgqJUY5UM7r;Matt Ox;1 Dazed;
