album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;6;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;8;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;8;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;9;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;9;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;9;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;11;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;12;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;13;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4Mqyn8u9HJSFgaLspFhfIq;De Pachanga Con Los Nuevos Rebeldes;2020-11-20;13;Rebel Records;https://i.scdn.co/image/ab67616d0000b2738591f3b34e325fe39ab1db8f;3OFZZxPrO2uYjDVglqTwEr;Los Nuevos Rebeldes;1 El Viejo del Sombreron, 2 40 Degrados, 3 Carmen, 4 La Cortina, 5 Mi Cucu, 6 Bota la Bata, 7 Loco y la Hierba Se Movia, 8 El Telegrama;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
