album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;11;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-25;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;17;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-26;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;22;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-27;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;26;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-28;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;29;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-29;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;30;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-11-30;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;32;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-12-01;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;33;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-12-02;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;34;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
2020-12-03;single;6j2upFrdVgb4NrzG4j4RMd;El Rey Duque V3;2020-11-21;34;Duo Records,Inc;https://i.scdn.co/image/ab67616d0000b273646c127fafc1ab1ae93624ea;3A0BfQaHamszBGAaA1GQcH;El Comando Exclusivo;1 El Rey Duque V3;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TR, TW, UA, US, UY, VN, XK
