album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;36;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-25;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;37;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-26;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;38;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-27;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;39;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-28;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;39;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-29;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;40;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-11-30;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;40;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-12-01;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;40;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-12-02;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;40;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
2020-12-03;single;5iamscXb0VlnJmEkBi33uP;Feels Right (Gerd Janson Remix);2020-11-17;40;City Slang;https://i.scdn.co/image/ab67616d0000b2737d92e8906aaa8fc556a48747;4AQrqVz6BYwy29iMxcGtx7;Roosevelt;1 Feels Right (Gerd Janson Remix) - Radio Edit, 2 Feels Right, 3 Feels Right (Gerd Janson Remix), 4 Feels Right (Gerd Janson Remix) - Instrumental;AD, AL, AR, AT, BA, BE, BG, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GR, GT, HN, HR, HU, IL, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, RU, SE, SI, SK, SV, TR, UA, US, UY, XK
