album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;40;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;41;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;42;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;42;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;43;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;43;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;44;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;44;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;44;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;0iOTEPcJgiwoTNE1M8pWhh;Fogerty's Factory (Expanded);2020-11-20;44;BMG Rights Management (US) LLC;https://i.scdn.co/image/ab67616d0000b273f4cf43e452fcf532cf2f339d;5ujCegv1BRbEPTCwQqFk6t;John Fogerty;1 Centerfield - Dodger Stadium Version, 2 Have You Ever Seen The Rain? - Fogerty's Factory Version, 3 Lean On Me - Fogerty's Factory Version, 4 Hot Rod Heart - Fogerty's Factory Version, 5 Blue Moon Nights - Fogerty's Factory Version, 6 Tombstone Shadow - Fogerty's Factory Version, 7 City Of New Orleans - Fogerty's Factory Version, 8 Proud Mary - Fogerty's Factory Version, 9 Blueboy - Fogerty's Factory Version, 10 Bad Moon Rising - Fogerty's Factory Version, 11 Fortunate Son - Fogerty's Factory Version, 12 Don't You Wish It Was True - Fogerty's Factory Version;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
