album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-29;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;51;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;53;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;53;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;album;4kJNYYSVr2dT2qu3paVqYA;Group Therapy 408;2020-11-22;52;Anjunabeats;https://i.scdn.co/image/ab67616d0000b27397e01c89400e8cfca459f62a;7HXnQUEKHiWvUqSIR9ydOC;Above & Beyond Group Therapy;1 Group Therapy Intro (ABGT408), 2 No One On Earth (ABGT408) - gardenstate Remix, 3 Group Therapy (Messages Pt. 1) [ABGT408], 4 Odyssey 64 (ABGT408), 5 Voices (ABGT408), 6 Grains (Record Of The Week) [ABGT408], 7 Group Therapy (Messages Pt. 2) [ABGT408], 8 Do It All Again (ABGT408), 9 Group Therapy (Messages Pt. 3) [ABGT408], 10 Going Home (ABGT408), 11 Will I Change (ABGT408) - Simon Doty Remix, 12 Group Therapy (Messages Pt. 4) [ABGT408], 13 The Pledge (ABGT408), 14 Group Therapy (Messages Pt. 5) [ABGT408], 15 Let It Rain (ABGT408) - PSHKR Remix, 16 Don't Let It End (ABGT408), 17 Paid For Love (Push The Button) [ABGT408], 18 One Love (ABGT408), 19 Group Therapy (Messages Pt. 6) [ABGT408], 20 Paper Towns (ABGT408), 21 Molecules (ABGT408), 22 Group Therapy (Messages Pt. 7) [ABGT408], 23 Eve (ABGT408), 24 Builder (Flashback) [ABGT408], 25 Group Therapy (Messages Pt. 8) [ABGT408];AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
