album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;35;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;36;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;37;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;38;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;39;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;39;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;40;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;40;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;40;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;7ePGi33hiELSAOb0ILF9hK;Hell (Remixes);2020-11-20;40;Confession;https://i.scdn.co/image/ab67616d0000b2738aacaaf10b56a412a7d1656a;7w1eTNePApzDk8XtgykCPS;Malaa;1 Hell (Jero Remix), 2 Hell (FATESKY Remix), 3 Hell (NORSHEEP Remix), 4 Hell (Odeeon Remix), 5 Hell (Mazix Remix), 6 Hell (TRST. Remix);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
