album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;27;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;30;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;32;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;33;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;35;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;36;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;38;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;39;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;40;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;0KEtzskgOyI7JeQGUkq5t1;Home;2020-11-20;41;Sony Classical;https://i.scdn.co/image/ab67616d0000b273e9e9be4923af8f45a587a9b9;58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench;1 O Holy Night, 2 A Time for Giving, 3 Feliz Navidad, 4 Simple Gifts, 5 Happy Xmas (War is Over);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
