album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;8;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;11;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;13;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;15;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;16;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;16;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;17;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;18;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;19;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;5zrdNRDLqlKaw7KhsrPu3k;I'm a Zombie (Minecraft Zombie Rap);2020-11-16;20;Freshnut Records;https://i.scdn.co/image/ab67616d0000b273a3afc7f2b3af83756134ee71;17BmVePNxhzlRGKc85xYsd;Dan Bull;1 I'm a Zombie, 2 I'm a Zombie - Acapella;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
