album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;57;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;58;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;60;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;61;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;61;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;62;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;63;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;63;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;63;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;6602j3WLi4WLHAjwGWW6T3;Is It Just Me (feat. Charlie Puth);2020-11-19;64;RCA Records Label;https://i.scdn.co/image/ab67616d0000b2733d959a929b52a36362378ae3;4xnihxcoXWK3UqryOSnbw5;Sasha Sloan;1 Is It Just Me? (feat. Charlie Puth);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
