album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;12;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;14;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;16;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;17;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;19;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;20;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;25;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;27;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;28;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;album;5QBVlrjoG6ViyeJqZQALfG;La Noche Esta Pa' Cotorrear (en Vivo);2020-11-20;29;SMK Entertainment, under license to InStream Digital, LLC;https://i.scdn.co/image/ab67616d0000b27302bf42552624ad15d33bfdfa;2ylQO8qFEBINvkNNZGe4uC;Omar Ruiz;1 El De La Troca Roja - en Vivo, 2 Mi Tesoro - en Vivo, 3 Borracho En Tu Honor - en Vivo, 4 Que Buena Peda - en Vivo, 5 La Noche Esta Pa' Cotorrear - en Vivo, 6 El Pekas - en Vivo, 7 Alegres y Amanecidos - en Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
