album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;14;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-25;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;14;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-26;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;14;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-27;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;14;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-28;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;14;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-29;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;13;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-11-30;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;13;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-01;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;13;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-02;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;13;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-03;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;12;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-04;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;12;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-05;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;12;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-06;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;11;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-07;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;11;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
2020-12-08;single;1DE3KZRlL1ICXF93rxGAA7;Pop My Shit;2020-11-16;11;Tay Money;https://i.scdn.co/image/ab67616d0000b273363e49b61bda6cfe230dae8d;5h1EJimWlFIERZ4b5Xwaxz;Tay Money;1 Pop My Shit;
