album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;32;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;35;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;36;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;37;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;38;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;39;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;40;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;41;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;42;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;4vIHi1vbAM6U4WzJ85RP8y;Reflections Pt. 1  Debussy Bruyères;2020-11-20;43;Deutsche Grammophon (DG);https://i.scdn.co/image/ab67616d0000b27344c056496a631da655a4709d;0iqgjl0OG3z53PZVIB7ZyD;Víkingur Ólafsson;1 Bruyères, 2 Bruyères - Home Session, 3 Reflection;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
