album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;39;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;39;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;40;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;41;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;41;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;42;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;42;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;43;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;43;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;6epZo15GtEbZCJruxTso9c;Roses Are Red;2020-11-17;44;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b27377b013ae50198e6c493dc80f;2wY79sveU1sp5g7SokKOiI;Sam Smith;1 Dance (‘Til You Love Someone Else), 2 Diamonds, 3 Latch, 4 Dancing With A Stranger, 5 Temptation;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
