album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;0;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;29;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;39;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;43;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;45;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;47;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;48;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;49;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;50;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;51;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;029nCxucY9xCd9TP9TwU9b;START-UP (Original Television Soundtrack) Pt. 13;2020-11-22;52;㈜뮤직버디, ㈜블렌딩;https://i.scdn.co/image/ab67616d0000b27391446001af93b23f26941413;2YXlVLKq3X3soXd2aXUtIT;Jamie;1 Dream, 2 Dream Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
