album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;30;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;33;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;34;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;36;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;37;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;38;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;40;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;41;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;41;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;08Ak1TymrlLbCnkov23lYo;Stuck In The Middle Pt. II (feat. Kiana Ledé);2020-11-20;42;Arista Records;https://i.scdn.co/image/ab67616d0000b273d0a8937f13f112c5277aff6e;2kCO8LXN1usaOPL3iEE28I;Tai Verdes;1 Stuck In The Middle Pt. II (feat. Kiana Ledé);AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
