album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;59;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;62;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;63;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;64;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;65;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;65;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;66;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;67;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;68;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;68;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;69;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;69;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;69;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;4k7wyyDe7A9w3gOxzkprkX;The Legacy - Season I;2020-11-19;69;Sony Music Entertainment;https://i.scdn.co/image/ab67616d0000b2736e703f76d5c3f597c260801a;7MiDcPa6UiV3In7lIM71IN;Gusttavo Lima;1 Espetinho - Ao Vivo, 2 Tô Torcendo - Ao Vivo, 3 Tudo que Eu Queria - Ao Vivo, 4 Café e Amor - Ao Vivo, 5 De Menina pra Mulher - Ao Vivo;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
