album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;36;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-25;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;37;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-26;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;38;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-27;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;38;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-28;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-29;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-11-30;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-01;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-02;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-03;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-04;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-05;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-06;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-07;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
2020-12-08;single;2IVSENhttRZRsewfYxSL0a;Too Much Change (Kasst Remix);2020-11-20;39;Mute;https://i.scdn.co/image/ab67616d0000b2737a7eb0d4531a9d5559a8c87f;3OsRAKCvk37zwYcnzRf5XF;Moby;1 Too Much Change - Kas:st Remix;CA, MX, US
