album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-24;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;26;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-25;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;27;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-26;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;28;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-27;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-28;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-29;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-11-30;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;29;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;1i3Yvl4yK4I9qoH18eTB4y;What's Going On;2020-11-18;28;UMG Recordings, Inc.;https://i.scdn.co/image/ab67616d0000b273daca8c4321689764efe94e07;06nevPmNVfWUXyZkccahL8;Gregory Porter;1 Mister Holland, 2 Merchants Of Paradise, 3 You Can Join My Band, 4 Holding On, 5 Fan The Flames, 6 Free, 7 When Love Was King;AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JP, KW, LB, LT, LU, LV, MA, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
