artist_date_extract;artist_id;artist_name;genres;artist_followers;artist_popularity;artist_image
2020-11-24;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371454;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-24;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371454;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-25;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371630;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-25;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371630;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-26;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371796;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-26;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371796;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-27;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371949;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-27;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;371949;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-28;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;372129;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-28;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;372129;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-29;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;372295;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
2020-11-29;23OFz99wX0NDBBwrxthLWU;The Lacs;country rap, redneck;372295;65;https://i.scdn.co/image/d019c1918716d7eab4985916723236c7f7d7852f
